index,name,synopsis,genre,netflix,tiving
69,피아니스트,"유대계 폴란드인이자 세계적인 피아니스트였던 브와디스와프 슈필만의 회고록을 바탕으로 한 작품. 2차 세계대전 당시, 나치가 활개 치던 폴란드의 바르샤바. 극도로 처참한 현실에도 삶의 끈을 놓지 않으려는 슈필만의 처절한 투쟁이 펼쳐진다.","밀리터리 영화, 프랑스 작품, 실화 바탕 영화",1,0
70,킬러의 보디가드 2: 킬러의 와이프,암살자 다리우스 킨케이드와 그의 부인 소니아가 거대한 음모에 휘말린다. 그러자 보디가드 마이클 브라이스도 함께 엮여 들어가는데. 화려한 액션이 빵빵 터지는 대담무쌍한 코미디.,"미국 영화, 액션 & 어드벤처, 코미디",1,0
71,하울의 움직이는 성,"아버지가 물려준 모자 가게를 지키는 수수한 소녀 소피. 전쟁도, 미녀의 심장을 노리는 마법사의 소문도 먼 세상 이야기일 뿐. 하지만 마녀의 저주로 할머니가 되면서, 소피의 인생이 회전목마처럼 힘차게 움직이기 시작한다.","일본 작품, 가족 영화, 도서 원작 애니메이션",1,0
72,엣지 오브 투모로우,강력한 외계 종족이 침공한 지구. 전투 경험이 전무한 군 공보관 소령이 전장에 투입되고 바로 죽고 만다. 그런데 어찌 된 걸까. 눈을 뜨니 다시 같은 날로 돌아가 있다. 다시 전장에 나가 죽고 또 살아나고... 타임 루프에 갇혔다!,"SF 영화, 미국 영화, 도서 원작 영화",1,0
73,강철의 연금술사,"강철의 연금술사 에드, 잃어버린 동생의 몸을 되찾기 위해 물불을 가리지 않는다. 두 형제를 지켜보는 군과 괴물 같은 존재들의 훼방에도 동생의 예전 모습을 찾을 수 있을까.","일본 작품, SF 영화, 액션 & 어드벤처",1,0
74,시동,"공부도 싫고 엄마 잔소리도 지긋지긋하다. 결국 가출 끝에 중국집 배달원이 된 고등학교 자퇴생. 심상치 않은 과거를 가진 단발머리 주방장을 만나면서 진짜 세상을 맛본다. 오토바이에 시동을 건 지금, 인생의 시동을 걸 때가 왔다.","청춘 영화, 코미디",1,0
75,분노의 질주: 더 얼티메이트,다시 돌아온 도미닉 토레토와 패밀리 멤버들. 이번엔 세계를 위기에 빠트릴 엘리트 범죄자의 계략을 막아야만 한다. 그 범죄자가 도미닉의 동생일 줄이야.,"미국 영화, 액션 & 어드벤처",1,0
76,미션 임파서블: 고스트 프로토콜,특수 비밀 요원 에단 헌트와 팀원들은 크렘린궁에 폭탄을 터뜨렸다는 누명을 벗기 위해 다시 한번 지상 최대의 불가능한 임무를 맡는다.,"영화·스파이, 미국 영화, 액션 & 어드벤처",1,0
77,어카운턴트,"고기능 자폐증의 수학 천재 크리스천 울프. 아들을 강하게 키우려 했던 아버지 밑에서 자라, 범죄 조직의 회계사이자 킬러로 살아가던 중 새 의뢰를 받는다. 그리고 시작된 쫓고 쫓기는 추격전. 그 끝에는 놀라운 진실이 기다리고 있다.","미국 영화, 액션 & 어드벤처",1,0
78,익스트랙션,어떤 일에도 쉽게 동요하지 않는 냉철한 용병. 그가 살아남기 위해 자신을 끊임없이 성찰한다. 마약왕의 납치된 아들을 구하러 간 방글라데시에서 그 모든 것이 시작됐다.,"미국 영화, 도서 원작 영화, 액션 & 어드벤처",1,0
79,오퍼레이션 피날레,"사라진 학살자, 아돌프 아이히만을 포획하라. 전쟁의 기억이 잊혀 가던 1960년, 이스라엘 정보국 요원들이 정의 실현을 위해 미션을 펼친다. 실화를 바탕으로 한 작품.","영화·스파이, 사회 이슈 드라마 장르 영화, 실화 바탕 영화",1,0
80,캅샵: 미친놈들의 전쟁,소도시 경찰서에 계획적으로 숨어든 사기꾼. 자신을 뒤쫓던 위험한 인물과 감방 동기가 되면서 큰 문제에 휘말리는데.,"미국 영화, 액션 & 어드벤처, 코미디",1,0
